Ticker,CCASS ID,Date,Shareholding,% of Total Issued Shares/Warrants/Units,DoD Change
9988,C00010,2020/07/20,"2,485,445,775",11.58,-0.10999999999999943
9988,C00019,2020/07/20,"841,078,123",3.91,0.050000000000000266
9988,C00100,2020/07/20,"621,953,295",2.89,0.03000000000000025
9988,C00039,2020/07/20,"171,878,157",0.8,0.010000000000000009
9988,C00074,2020/07/20,"84,476,796",0.39,0.020000000000000018
9988,C00002,2020/07/20,"69,228,400",0.32,0.0
9988,C00033,2020/07/20,"64,433,119",0.3,0.010000000000000009
9988,B01161,2020/07/20,"61,220,342",0.28,-0.009999999999999953
9988,B01274,2020/07/20,"56,380,905",0.26,0.0
9988,C00093,2020/07/20,"42,918,223",0.19,0.0
9988,B01451,2020/07/20,"37,261,816",0.17,0.010000000000000009
9988,B01284,2020/07/20,"30,320,297",0.14,0.0
9988,B01130,2020/07/20,"22,230,246",0.1,0.0
9988,B01224,2020/07/20,"14,894,323",0.06,0.0
9988,B01590,2020/07/20,"12,034,864",0.05,0.0
9988,B01376,2020/07/20,"9,434,728",0.04,0.0
9988,B01089,2020/07/20,"9,135,838",0.04,0.0
9988,B01491,2020/07/20,"8,609,408",0.04,0.02
9988,C00003,2020/07/20,"7,803,652",0.03,0.0
9988,B01353,2020/07/20,"6,969,336",0.03,0.0
9988,B01955,2020/07/20,"6,963,048",0.03,0.0
9988,B01086,2020/07/20,"6,740,893",0.03,0.0
9988,C00016,2020/07/20,"6,431,732",0.02,-0.009999999999999998
9988,C00042,2020/07/20,"6,428,207",0.02,-0.009999999999999998
9988,C00088,2020/07/20,"5,945,766",0.02,0.0
9988,C00015,2020/07/20,"5,574,834",0.02,0.0
9988,B01143,2020/07/20,"4,662,800",0.02,0.0
9988,B01565,2020/07/20,"4,218,998",0.01,0.0
9988,B01668,2020/07/20,"4,096,680",0.01,-0.01
9988,C00037,2020/07/20,"3,966,500",0.01,0.0
9988,C00028,2020/07/20,"3,948,617",0.01,0.0
9988,B01610,2020/07/20,"3,906,850",0.01,-0.01
9988,B01727,2020/07/20,"3,715,482",0.01,0.0
9988,B01842,2020/07/20,"3,519,277",0.01,0.0
9988,C00036,2020/07/20,"3,441,660",0.01,0.0
9988,B01345,2020/07/20,"3,396,995",0.01,0.0
9988,B01695,2020/07/20,"2,893,233",0.01,0.0
9988,B01148,2020/07/20,"2,590,700",0.01,0.0
9988,C00058,2020/07/20,"2,390,200",0.01,0.0
9988,B01118,2020/07/20,"2,378,955",0.01,0.0
9988,B01938,2020/07/20,"2,089,054",0.0,0.0
9988,B01115,2020/07/20,"1,923,600",0.0,0.0
9988,B01826,2020/07/20,"1,883,906",0.0,0.0
9988,B01265,2020/07/20,"1,874,200",0.0,0.0
9988,B01338,2020/07/20,"1,651,510",0.0,0.0
9988,B01584,2020/07/20,"1,637,976",0.0,0.0
9988,B01654,2020/07/20,"1,577,597",0.0,0.0
9988,B01183,2020/07/20,"1,572,763",0.0,0.0
9988,B01901,2020/07/20,"1,546,096",0.0,0.0
9988,B01228,2020/07/20,"1,414,300",0.0,0.0
9988,B01138,2020/07/20,"1,361,800",0.0,-0.01
9988,C00048,2020/07/20,"1,308,500",0.0,0.0
9988,B01824,2020/07/20,"1,159,000",0.0,0.0
9988,B01825,2020/07/20,"1,147,400",0.0,0.0
9988,C00018,2020/07/20,"1,063,480",0.0,0.0
9988,B01929,2020/07/20,"1,058,401",0.0,0.0
9988,B01623,2020/07/20,"1,051,700",0.0,0.0
9988,B01217,2020/07/20,"971,100",0.0,0.0
9988,B01264,2020/07/20,"946,700",0.0,0.0
9988,C00095,2020/07/20,"889,744",0.0,0.0
9988,B01858,2020/07/20,"852,900",0.0,0.0
9988,B01686,2020/07/20,"835,100",0.0,0.0
9988,B01762,2020/07/20,"818,600",0.0,0.0
9988,B01497,2020/07/20,"788,600",0.0,0.0
9988,B01347,2020/07/20,"782,990",0.0,0.0
9988,B01939,2020/07/20,"734,600",0.0,0.0
9988,B01818,2020/07/20,"661,933",0.0,0.0
9988,B01905,2020/07/20,"581,800",0.0,0.0
9988,B01272,2020/07/20,"512,000",0.0,0.0
9988,B01581,2020/07/20,"494,400",0.0,0.0
9988,B02132,2020/07/20,"491,400",0.0,0.0
9988,B01184,2020/07/20,"455,900",0.0,0.0
9988,B01673,2020/07/20,"454,900",0.0,0.0
9988,B01777,2020/07/20,"442,450",0.0,0.0
9988,B01423,2020/07/20,"439,650",0.0,0.0
9988,B02163,2020/07/20,"420,500",0.0,0.0
9988,B01392,2020/07/20,"418,100",0.0,0.0
9988,B01959,2020/07/20,"405,100",0.0,0.0
9988,C00041,2020/07/20,"386,600",0.0,0.0
9988,B01829,2020/07/20,"365,686",0.0,0.0
9988,B01813,2020/07/20,"353,900",0.0,0.0
9988,B01119,2020/07/20,"351,600",0.0,0.0
9988,B01277,2020/07/20,"337,100",0.0,0.0
9988,B01649,2020/07/20,"326,000",0.0,0.0
9988,B01427,2020/07/20,"325,900",0.0,0.0
9988,B01556,2020/07/20,"320,410",0.0,0.0
9988,C00102,2020/07/20,"319,500",0.0,0.0
9988,B01885,2020/07/20,"300,400",0.0,0.0
9988,B01413,2020/07/20,"299,300",0.0,0.0
9988,B01209,2020/07/20,"288,120",0.0,0.0
9988,B01904,2020/07/20,"276,206",0.0,0.0
9988,B01324,2020/07/20,"271,500",0.0,0.0
9988,B01459,2020/07/20,"261,900",0.0,0.0
9988,B01246,2020/07/20,"259,300",0.0,0.0
